"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"Town of Grand Island","Erie","Western New York","21,389","Designated CEC","","Medium community","2,200","• (Retired) Benchmarking - Advanced Reporting (200 points) - 4/15/2021 
 • Benchmarking - Municipal Buildings (100 points) - 4/24/2017 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/5/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/5/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/20/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/20/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/20/2022 
 • Solarize (0 points) - 10/2/2018 
 • Unified Solar Permit (200 points) - 7/25/2017","9"
"Town of Granger","Allegany","Western New York","519","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021","1"
"Town of Greece","Monroe","Finger Lakes","96,926","Designated CEC","","Large community","800","• Benchmarking - Municipal Buildings (100 points) - 4/26/2018 
 • Clean Energy Upgrades (500 points) - 8/27/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • Unified Solar Permit (200 points) - 10/9/2018","4"
"Town of Greenburgh","Westchester","Mid-Hudson","95,397","Designated CEC","","Large community","3,300","• Community Campaigns - Clean Heating and Cooling (500 points) - 10/11/2022 
 • Community Campaigns - Community Solar (200 points) - 8/17/2021 
 • Community Campaigns - Demand Response (200 points) - 9/28/2021 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 3/9/2021 
 • Community Choice Aggregation - Expired Version (0 points) - 1/26/2021 
 • Energize NY Finance (0 points) - 1/26/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/26/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/9/2021","8"
"Town of Greene","Chenango","Southern Tier","5,296","Designated CEC","","Medium community","1,500","• Benchmarking - Municipal Buildings (100 points) - 3/11/2019 
 • Clean Energy Upgrades (500 points) - 3/26/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/4/2019 
 • Unified Solar Permit (200 points) - 3/11/2019","4"
"Town of Greenville (Greene County)","Greene","Capital Region","3,741","Designated CEC","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 7/27/2018 
 • Clean Fleets (100 points) - 7/8/2019 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018 
 • Unified Solar Permit (200 points) - 8/13/2018","4"
"Town of Groton","Tompkins","Southern Tier","5,746","Designated CEC","1-Star","Medium community","1,700","• Benchmarking - Municipal Buildings (100 points) - 11/14/2018 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 8/20/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/10/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/8/2022 
 • Solarize (0 points) - 10/2/2018 
 • Unified Solar Permit (200 points) - 11/14/2018","7"
"Town of Guilderland","Albany","Capital Region","36,848","Designated CEC","","Medium community","600","• Benchmarking - Municipal Buildings (100 points) - 4/26/2018 
 • Clean Fleets (100 points) - 6/5/2018 
 • Community Campaigns - Community Solar (200 points) - 2/3/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • Unified Solar Permit (200 points) - 4/26/2018","5"
"Town of Guilford","Chenango","Southern Tier","2,741","Designated CEC","1-Star","Small community","2,000","• 50% Conversion of Cobra Head Streetlights (700 points) - 7/9/2024 
 • Benchmarking - Advanced Reporting (300 points) - 9/30/2024 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 9/30/2024 
 • Energy Code Enforcement Training (300 points) - 7/2/2024 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/23/2022","5"
"Town of Hamburg","Erie","Western New York","60,085","Designated CEC","","Large community","1,600","• (Retired) Benchmarking - Advanced Reporting (200 points) - 9/17/2021 
 • Benchmarking - Municipal Buildings (100 points) - 7/6/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/19/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/5/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/5/2023 
 • Unified Solar Permit (200 points) - 6/22/2021","6"
"Town of Hamden","Delaware","Southern Tier","1,137","Designated CEC","2-Star","Small community","3,500","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/23/2021 
 • Benchmarking - Municipal Buildings (100 points) - 8/15/2017 
 • Clean Energy Upgrades (500 points) - 2/6/2018 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 8/2/2023 
 • Community Campaigns - Community Solar (200 points) - 6/22/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/3/2020 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 10/3/2024 
 • Municipal Clean Fleets Inventory (200 points) - 7/2/2024 
 • Unified Solar Permit (200 points) - 10/16/2017","11"
"Town of Hamilton","Madison","Central New York","6,379","Designated CEC","","Medium community","3,300","• (Retired) Benchmarking - Advanced Reporting (200 points) - 12/15/2021 
 • Benchmarking - Municipal Buildings (100 points) - 6/29/2017 
 • Clean Energy Upgrades (500 points) - 11/8/2022 
 • Clean Fleets (100 points) - 9/1/2017 
 • Clean Heating and Cooling Demo (700 points) - 2/3/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/13/2020 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 8/1/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/3/2020 
 • Unified Solar Permit (200 points) - 4/24/2017","10"
"Town of Hancock","Delaware","Southern Tier","2,764","Designated CEC","1-Star","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 11/6/2017 
 • Clean Energy Upgrades (500 points) - 3/26/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/31/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • Municipal Clean Fleets Inventory (200 points) - 10/1/2024 
 • Unified Solar Permit (200 points) - 11/6/2017","6"
"Town of Hannibal","Oswego","Central New York","4,525","Designated CEC","1-Star","Small community","1,000","• (Retired) Benchmarking - Advanced Reporting (200 points) - 2/23/2021 
 • Benchmarking - Municipal Buildings (100 points) - 9/4/2018 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 7/9/2024 
 • Clean Energy Upgrades (500 points) - 10/26/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/20/2018 
 • Unified Solar Permit (200 points) - 10/2/2018","6"
"Town of Hanover","Chautauqua","Western New York","6,972","Designated CEC","","Medium community","1,100","• Benchmarking - Municipal Buildings (100 points) - 10/2/2018 
 • Clean Fleets (100 points) - 9/4/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/20/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/9/2021 
 • Unified Solar Permit (200 points) - 10/2/2018","5"
"Town of Harford","Cortland","Central New York","876","Not Designated","","Small community","900","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/5/2023","3"
"Town of Harmony","Chautauqua","Western New York","2,121","Designated CEC","1-Star","Small community","1,400","• Benchmarking - Municipal Buildings (100 points) - 1/10/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 1/31/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/6/2022 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • Unified Solar Permit (200 points) - 1/10/2023","5"
"Town of Harpersfield","Delaware","Southern Tier","1,442","Not Designated","","Small community","700","• LED Street Lights - Cobra Head Fixtures (700 points) - 3/8/2022","1"
"Town of Harrietstown","Franklin","North Country","5,254","Designated CEC","2-Star","Medium community","3,200","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/30/2023 
 • Benchmarking - Municipal Buildings (100 points) - 8/1/2022 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 4/23/2024 
 • Clean Energy Upgrades (500 points) - 12/20/2022 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 5/16/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 4/30/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/28/2022 
 • Municipal Clean Fleets Inventory (200 points) - 5/10/2024 
 • Unified Solar Permit (200 points) - 8/23/2022","10"
"Town of Hartsville","Steuben","Southern Tier","558","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 8/14/2018","1"
"Town of Hartwick","Otsego","Mohawk Valley","1,952","Designated CEC","1-Star","Small community","1,900","• (Retired) Benchmarking - Advanced Reporting (200 points) - 7/27/2021 
 • Benchmarking - Municipal Buildings (100 points) - 2/7/2017 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 6/26/2024 
 • Community Campaigns - Electric Vehicles (200 points) - 11/21/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/22/2021 
 • Municipal Clean Fleets Inventory (200 points) - 5/10/2024 
 • Solarize (0 points) - 4/19/2019","7"
"Town of Hastings","Oswego","Central New York","9,342","Not Designated","","Medium community","700","• LED Street Lights - Cobra Head Fixtures (700 points) - 4/19/2019","1"
"Town of Haverstraw","Rockland","Mid-Hudson","39,087","Not Designated","","Medium community","900","• Energy Code Enforcement Training - Leadership Round (200 points) - 7/5/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/3/2023","2"
"Town of Hebron","Washington","Capital Region","1,786","Designated CEC","1-Star","Small community","2,500","• Benchmarking - Advanced Reporting (300 points) - 9/10/2024 
 • Benchmarking - Municipal Buildings (100 points) - 3/29/2022 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 9/10/2024 
 • CDG Subscription (300 points) - 9/3/2024 
 • Clean Heating and Cooling Demo (700 points) - 7/18/2023 
 • Community Campaigns - Community Solar (200 points) - 8/23/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/8/2021 
 • Municipal Clean Fleets Inventory (200 points) - 9/3/2024","8"
"Town of Hector","Schuyler","Southern Tier","4,895","Designated CEC","3-Star","Small community","5,000","• (Retired) Benchmarking - Advanced Reporting (200 points) - 8/23/2022 
 • Benchmarking - Municipal Buildings (100 points) - 6/8/2021 
 • CDG Subscription (300 points) - 11/5/2024 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/11/2023 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 5/21/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 10/5/2021 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 3/5/2024 
 • Community Campaigns - Community Solar (200 points) - 8/1/2022 
 • Electric Landscaping Equipment (200 points) - 11/5/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 8/27/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/6/2021 
 • Light-Duty Non-Road Vehicles (200 points) - 11/5/2024 
 • Municipal Clean Fleets Inventory (200 points) - 5/21/2024 
 • Unified Solar Permit (200 points) - 6/22/2021","15"
"Town of Hempstead","Nassau","Long Island","793,409","Designated CEC","","Large community","1,000","• Clean Fleets (100 points) - 11/9/2016 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/16/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/12/2016 
 • Unified Solar Permit (200 points) - 1/24/2017","4"
"Town of Henrietta","Monroe","Finger Lakes","47,096","Designated CEC","2-Star","Large community","3,600","• 50% Conversion of Cobra Head Streetlights (700 points) - 6/18/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 6/18/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 6/26/2024 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 7/19/2022 
 • Clean Heating and Cooling Demo (700 points) - 4/12/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 5/3/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/12/2022 
 • Municipal Clean Fleets Inventory (200 points) - 7/2/2024 
 • Unified Solar Permit (200 points) - 12/1/2021","9"
"Town of Hermon","St. Lawrence","North Country","1,074","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022","1"
"Town of Highland","Sullivan","Mid-Hudson","2,196","Designated CEC","1-Star","Small community","1,100","• Benchmarking - Municipal Buildings (100 points) - 5/2/2017 
 • Clean Energy Upgrades (500 points) - 3/11/2019 
 • Energy Code Enforcement Training (300 points) - 5/21/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018 
 • Unified Solar Permit (200 points) - 6/29/2017","5"
"Town of Highlands","Orange","Mid-Hudson","0","Designated CEC","2-Star","Small community","4,500","• (Retired) Benchmarking - Advanced Reporting (200 points) - 10/11/2022 
 • Benchmarking - Municipal Buildings (100 points) - 7/30/2019 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 6/11/2024 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 9/30/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 6/18/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 10/15/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 7/18/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/5/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/4/2018 
 • Level 2 Charging Stations - Tier 1 (200 points) - 2/13/2024 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • Unified Solar Permit (200 points) - 10/11/2022","12"
"Town of Hillsdale","Columbia","Capital Region","1,831","Designated CEC","3-Star","Small community","5,800","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/8/2022 
 • Benchmarking - Advanced Reporting (300 points) - 7/23/2024 
 • Benchmarking - Municipal Buildings (100 points) - 4/24/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 7/23/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 1 (600 points) - 7/23/2024 
 • Clean Fleets (100 points) - 12/5/2017 
 • Clean Heating and Cooling Demo (700 points) - 12/9/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/30/2023 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 9/17/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 7/23/2024 
 • Community Campaigns - Community Solar (200 points) - 6/14/2022 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 7/23/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/15/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/20/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/8/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 11/8/2022 
 • Municipal Clean Fleets Inventory (200 points) - 4/16/2024 
 • Unified Solar Permit (200 points) - 6/20/2017","18"
